ID,App_ID,APP_Name,Price,User_Rating,Rating_Count_Total,User_Review
1,281656475,PAC-MAN Premium,3.99,4,21292,"Help would be greatly appreciated. I pre-registered the game and i downloaded it and it said that an error occurred. I followed the steps in the customer support area (reset phone, uninstalled app, cleared cache, etc.) It still wont work and i dont know why. Please help"
2,283619399,Shanghai Mahjong,0.99,4,8253,I THINK IT IS A AMAZING GAME BECAUSE YOU COULD DO ANYTHING TO THIS APP.
3,284736660,Ms. PAC-MAN,3.99,4,7885,"Love the gameplay, love the updates and constant improvements. Only wish there was a way to keep game play smooth when data is moving in and out in the background or a setting to suppress all other activity and give all resources this app when playing. Wish you had your own server to save purchases and game progress that worked across platforms."
4,284791396,Solitaire by MobilityWare,4.99,4.5,76720,"Man this is the best game EVER, it's just so addicting! But there's a *downfall*, is there a way you can make it less *laggier* PLZ! It's JUST LAGG. And if you want your reviews to actually be seen by the company. Go to feedback for the app or something like that. Y did I write the review, idk"
5,284815117,SCRABBLE Premium,7.99,3.5,105776,"Crashed in first few seconds, was unable to play, do not download."
6,284862767,FreeCell,4.99,4.5,6340,"I downloaded this game maybe a half hour ago, and it has crashed upon opening every time I've tried. It just freezes on the title screen, and crashes."
7,285005463,Crash Bandicoot Nitro Kart 3D,2.99,4,31456,The game ran smoothly on my device and kept me occupied for hours! Very Addicting!
8,285994151,:) Sudoku +,2.99,5,11447,"I love it but the app is so big if I have to keep downloading any more things I will run out of data. Please please please make the game save more data. I love the game , really. Please please please make it save more data, please."
9,286911400,Hangman.,0,3,42316,"It's fun to play. They're constantly making adjustments and improvements, because they listen to the feedback. There isn't a high pay-to-win aspect, which is refreshing. The promise of new content with every event is really nice, too! Highly recommended!"
10,289523017,Blackjack by MobilityWare,0,3.5,180087,The game ran smoothly on my device and kept me occupied for hours! Very Addicting!
11,292421271,Fieldrunners,2.99,4,41633,"It is a fun game for all ages, minus the occasional restarting back to the beginning. It is really annoying especially when you are on a high level!"
12,293778748,PAC-MAN,0,3,508808,Its amazing but takes long to load but besides that can u make making an account easy like roblox making an account? Pls
13,294536447,First Words Animals,1.99,4,2576,"I downloaded this game maybe a half hour ago, and it has crashed upon opening every time I've tried. It just freezes on the title screen, and crashes."
14,297606726,Fish Tycoon,0.99,3.5,18943,I THINK IT IS A AMAZING GAME BECAUSE YOU COULD DO ANYTHING TO THIS APP.
15,297694601,Touchgrind,4.99,4,35735,Its amazing but takes long to load but besides that can u make making an account easy like roblox making an account? Pls
16,302049354,Phase 10 Pro - Play Your Friends!,1.99,4.5,59155,"Man this is the best game EVER, it's just so addicting! But there's a *downfall*, is there a way you can make it less *laggier* PLZ! It's JUST LAGG. And if you want your reviews to actually be seen by the company. Go to feedback for the app or something like that. Y did I write the review, idk"
17,303058767,MASH,1.99,4,4913,"I love it but the app is so big if I have to keep downloading any more things I will run out of data. Please please please make the game save more data. I love the game , really. Please please please make it save more data, please."
18,303337299,Wedding Dash Deluxe,0.99,4.5,16567,"Classic, I love the concept behind the app. Hopefully new updates will soon change the whole game to a new experience."
19,303849934,Beer Pong Game,0,2,187315,I've been thinking of getting into this game for a while now but I regret not getting into it sooner! It's fun!
20,304770340,Skat,3.99,4.5,94,"Love this game! Its a great time killer, and the graphics are beautiful and relaxing. The only issue with this app is that, if you are playing online, it lags a lot."
21,304871622,Zombieville USA,0.99,4,32988,Had 4 phones and none of them got this damn game to work. im so fucking pissed. Im missing out so much.
22,306169895,Tozzle - Toddler's favorite puzzle,2.99,4,2562,This game is really good! The only problem is that the background can look really dull after a while.
23,306628397,Phrase Party!,1.99,4,878,Great game. Only thing wrong is that on 3 occasions I've just randomly lost my progress. It's getting to be a joke. I emailed customer service a week ago and still have had nothing back.
24,306937053,Minesweeper Classic,0.99,3.5,1140,I THINK IT IS A AMAZING GAME BECAUSE YOU COULD DO ANYTHING TO THIS APP.
25,307132353,Sally's Spa,2.99,4.5,35074,"Crashed in first few seconds, was unable to play, do not download."
26,307569751,NYTimes Crossword - Daily Word Puzzle Game,0,3.5,53465,"I honestly love this game. It's really easy to absorb yourself into, yet not too addictive. I absolutely love the simplicity of it"
27,307727765,Doodle Jump,0.99,4.5,395261,Warning! The most addictive game ever! Uninstalling before I ruin my career and life... Installed again.
28,308339980,iRagdoll - Ragdoll Physics,0.99,4,1372,This used to be a go to app of mine. Great for casual play and doesn't need a data connection. Their recent update ruined it. I think something with the video ads causes the app to be poorly responsive.
29,309527804,StickWars,0.99,3.5,53821,"Fantastic. I was hesitant to buy at first due to the reviews that mentioned that there were many bugs. However, I've had as great an experience!"
30,310303959,World Cup Table Tennis,0.99,4,17776,"Fantastic. I was hesitant to buy at first due to the reviews that mentioned that there were many bugs. However, I've had as great an experience!"
31,310951782,2XL Supercross,4.99,4,6093,This game is too easy! For difficulty settings after hard you should add extreme for people who want a challenge
32,311466554,Pocket Tanks Deluxe,4.99,4.5,5452,I THINK IT IS A AMAZING GAME BECAUSE YOU COULD DO ANYTHING TO THIS APP.
33,311972587,Sky Burger - Build & Match Food Free,0,4.5,114096,"Great game concept, with good graphics and some nice customization features. The gameplay against the AI is boring. The online play fun, if it works. The lag is killing the gameplay."
